OrderID	Date	CustomerID	Product	Quantity	UnitPrice	ShippingAddress	PaymentMethod	OrderStatus	TrackingNumber	ItemsInCart	CouponCode	ReferralSource	TotalPrice	Discount percentage 	Profit 	Discount Amount	Total amount
ORD200014	27 March 2023	C98474	Tablet	2	393.33	980 Main St	Debit Card	Pending	TRK79186539	3	SAVE10	Instagram	786.66	10	196.665	78.666	707.994
ORD200020	08 May 2023	C54829	Chair	5	62.51	587 Main St	Cash	Pending	TRK16718651	9	WINTER15	Instagram	312.55	15	78.1375	46.8825	265.6675
ORD200041	05 December 2023	C20212	Monitor	3	611.45	657 Main St	Gift Card	Pending	TRK69733327	4	FREESHIP50	Instagram	1834.35	-50	458.5875	50	1784.35
ORD200046	26 June 2024	C43212	Monitor	4	550.14	223 Main St	Debit Card	Pending	TRK25100762	4	FREESHIP50	Instagram	2200.56	-50	550.14	50	2150.56
ORD200070	26 May 2023	C25123	Desk	1	629.21	384 Main St	Gift Card	Pending	TRK27812282	2	FREESHIP50	Instagram	629.21	-50	157.3025	50	579.21
ORD200074	24 June 2023	C25382	Phone	5	90.87	622 Main St	Cash	Pending	TRK64691287	5	No coupon	Instagram	454.35	0	113.5875	0	454.35
ORD200110	21 April 2024	C74562	Tablet	1	220.77	388 Main St	Gift Card	Pending	TRK32062079	5	FREESHIP50	Instagram	220.77	-50	55.1925	50	170.77
ORD200131	08 January 2023	C72862	Tablet	1	84.8	606 Main St	Gift Card	Pending	TRK51648833	5	No coupon	Instagram	84.8	0	21.2	0	84.8
ORD200154	20 July 2023	C73587	Phone	4	408.21	727 Main St	Credit Card	Pending	TRK13955543	9	No coupon	Instagram	1632.84	0	408.21	0	1632.84
ORD200158	16 May 2024	C23334	Tablet	1	331.06	737 Main St	Credit Card	Pending	TRK46335144	5	WINTER15	Instagram	331.06	15	82.765	49.659	281.401
ORD200223	11 September 2024	C22783	Phone	4	692.91	673 Main St	Credit Card	Pending	TRK55009149	9	SAVE10	Instagram	2771.64	10	692.91	277.164	2494.476
ORD200231	05 November 2023	C30955	Phone	4	41.9	327 Main St	Gift Card	Pending	TRK46898848	9	FREESHIP50	Instagram	167.6	-50	41.9	50	117.6
ORD200240	12 July 2023	C14983	Tablet	1	17.24	255 Main St	Online	Pending	TRK93444157	2	FREESHIP50	Instagram	17.24	-50	4.31	50	-32.76
ORD200272	19 September 2023	C29758	Chair	2	399.32	119 Main St	Online	Pending	TRK12990043	6	WINTER15	Instagram	798.64	15	199.66	119.796	678.844
ORD200302	16 May 2023	C29432	Chair	3	468.74	121 Main St	Cash	Pending	TRK44142517	4	FREESHIP50	Instagram	1406.22	-50	351.555	50	1356.22
ORD200305	25 November 2023	C63822	Laptop	4	126.89	235 Main St	Cash	Pending	TRK59353216	9	FREESHIP50	Instagram	507.56	-50	126.89	50	457.56
ORD200330	02 June 2024	C38068	Desk	5	260.53	532 Main St	Gift Card	Pending	TRK54059198	5	SAVE10	Instagram	1302.65	10	325.6625	130.265	1172.385
ORD200336	29 December 2023	C88174	Laptop	1	18.2	441 Main St	Debit Card	Pending	TRK10143345	4	SAVE10	Instagram	18.2	10	4.55	1.82	16.38
ORD200339	10 April 2024	C84563	Printer	2	236.33	398 Main St	Online	Pending	TRK62422797	3	SAVE10	Instagram	472.66	10	118.165	47.266	425.394
ORD200352	31 August 2023	C26637	Chair	5	173.96	995 Main St	Debit Card	Pending	TRK59546992	8	WINTER15	Instagram	869.8	15	217.45	130.47	739.33
ORD200360	06 June 2024	C53810	Phone	4	589.57	779 Main St	Cash	Pending	TRK34630612	8	No coupon	Instagram	2358.28	0	589.57	0	2358.28
ORD200367	25 April 2024	C13108	Laptop	5	658.77	712 Main St	Gift Card	Pending	TRK82284400	10	FREESHIP50	Instagram	3293.85	-50	823.4625	50	3243.85
ORD200373	02 January 2023	C60178	Laptop	3	341.15	969 Main St	Cash	Pending	TRK84505143	4	FREESHIP50	Instagram	1023.45	-50	255.8625	50	973.45
ORD200374	16 September 2024	C20286	Monitor	1	571.9	129 Main St	Gift Card	Pending	TRK67648338	1	WINTER15	Instagram	571.9	15	142.975	85.785	486.115
ORD200377	22 July 2024	C24884	Monitor	1	260.26	625 Main St	Online	Pending	TRK44538419	5	WINTER15	Instagram	260.26	15	65.065	39.039	221.221
ORD200378	01 February 2024	C62666	Chair	5	64.5	148 Main St	Credit Card	Pending	TRK91029390	8	WINTER15	Instagram	322.5	15	80.625	48.375	274.125
ORD200380	20 April 2024	C35355	Printer	4	331.9	127 Main St	Cash	Pending	TRK52935059	5	SAVE10	Instagram	1327.6	10	331.9	132.76	1194.84
ORD200419	17 April 2024	C70999	Tablet	2	216.66	885 Main St	Debit Card	Pending	TRK75644156	6	FREESHIP50	Instagram	433.32	-50	108.33	50	383.32
ORD200427	18 December 2024	C25406	Desk	1	161.24	379 Main St	Credit Card	Pending	TRK70952564	3	WINTER15	Instagram	161.24	15	40.31	24.186	137.054
ORD200438	03 January 2025	C77800	Tablet	3	459.34	436 Main St	Gift Card	Pending	TRK27439574	3	SAVE10	Instagram	1378.02	10	344.505	137.802	1240.218
ORD200442	06 May 2024	C72588	Chair	5	314.94	661 Main St	Cash	Pending	TRK43410829	8	SAVE10	Instagram	1574.7	10	393.675	157.47	1417.23
ORD200448	04 September 2023	C16776	Laptop	2	160	854 Main St	Cash	Pending	TRK12860600	4	SAVE10	Instagram	320	10	80	32	288
ORD200449	26 August 2024	C91518	Tablet	3	253.05	286 Main St	Online	Pending	TRK48688724	3	No coupon	Instagram	759.15	0	189.7875	0	759.15
ORD200482	02 March 2025	C35852	Monitor	3	381.41	989 Main St	Online	Pending	TRK22302049	6	No coupon	Instagram	1144.23	0	286.0575	0	1144.23
ORD200512	27 September 2024	C14114	Desk	3	568.02	856 Main St	Online	Pending	TRK63290700	3	FREESHIP50	Instagram	1704.06	-50	426.015	50	1654.06
ORD200541	07 August 2023	C69009	Printer	5	456.06	879 Main St	Cash	Pending	TRK61295842	10	No coupon	Instagram	2280.3	0	570.075	0	2280.3
ORD200570	27 December 2024	C63727	Desk	2	362.14	122 Main St	Debit Card	Pending	TRK13611021	2	SAVE10	Instagram	724.28	10	181.07	72.428	651.852
ORD200602	05 March 2024	C35852	Tablet	4	26.04	982 Main St	Online	Pending	TRK64660134	5	SAVE10	Instagram	104.16	10	26.04	10.416	93.744
ORD200683	18 May 2025	C91591	Desk	4	652.48	887 Main St	Cash	Pending	TRK23554043	5	FREESHIP50	Instagram	2609.92	-50	652.48	50	2559.92
ORD200708	04 March 2025	C25268	Printer	1	665.11	788 Main St	Cash	Pending	TRK20481215	3	FREESHIP50	Instagram	665.11	-50	166.2775	50	615.11
ORD200720	21 September 2023	C12740	Desk	5	128.95	305 Main St	Cash	Pending	TRK98506513	10	FREESHIP50	Instagram	644.75	-50	161.1875	50	594.75
ORD200722	15 November 2024	C58156	Printer	1	95.1	516 Main St	Gift Card	Pending	TRK49719458	1	WINTER15	Instagram	95.1	15	23.775	14.265	80.835
ORD200737	03 January 2024	C91029	Phone	4	532.87	972 Main St	Cash	Pending	TRK25501930	9	FREESHIP50	Instagram	2131.48	-50	532.87	50	2081.48
ORD200749	13 April 2025	C17551	Laptop	1	518.39	997 Main St	Debit Card	Pending	TRK88797170	4	FREESHIP50	Instagram	518.39	-50	129.5975	50	468.39
ORD200785	29 July 2023	C45862	Chair	1	176.1	342 Main St	Credit Card	Pending	TRK53089983	1	SAVE10	Instagram	176.1	10	44.025	17.61	158.49
ORD200788	02 November 2023	C47307	Chair	2	601.43	761 Main St	Online	Pending	TRK43516112	5	FREESHIP50	Instagram	1202.86	-50	300.715	50	1152.86
ORD200795	20 November 2024	C95667	Laptop	4	115.77	586 Main St	Online	Pending	TRK41266666	7	SAVE10	Instagram	463.08	10	115.77	46.308	416.772
